2020-03-02 11:44:15 status installed python3-zope.event:all 4.2.0-1
2020-03-02 11:44:15 configure python3-zope.interface:amd64 4.3.2-1 <none>
2020-03-02 11:44:15 status unpacked python3-zope.interface:amd64 4.3.2-1
2020-03-02 11:44:15 status half-configured python3-zope.interface:amd64 4.3.2-1
2020-03-02 11:44:15 status installed python3-zope.interface:amd64 4.3.2-1
2020-03-02 11:44:15 configure python3-configargparse:all 0.11.0-1 <none>
2020-03-02 11:44:15 status unpacked python3-configargparse:all 0.11.0-1
2020-03-02 11:44:15 status half-configured python3-configargparse:all 0.11.0-1
2020-03-02 11:44:15 status installed python3-configargparse:all 0.11.0-1
2020-03-02 11:44:15 configure python3-zope.hookable:amd64 4.0.4-4+b2 <none>
2020-03-02 11:44:15 status unpacked python3-zope.hookable:amd64 4.0.4-4+b2
2020-03-02 11:44:15 status half-configured python3-zope.hookable:amd64 4.0.4-4+b2
2020-03-02 11:44:15 status installed python3-zope.hookable:amd64 4.0.4-4+b2
2020-03-02 11:44:15 trigproc man-db:amd64 2.7.6.1-2 <none>
2020-03-02 11:44:15 status half-configured man-db:amd64 2.7.6.1-2
2020-03-02 11:44:15 status installed man-db:amd64 2.7.6.1-2
2020-03-02 11:44:15 configure python3-openssl:all 16.2.0-1 <none>
2020-03-02 11:44:15 status unpacked python3-openssl:all 16.2.0-1
2020-03-02 11:44:15 status half-configured python3-openssl:all 16.2.0-1
2020-03-02 11:44:16 status installed python3-openssl:all 16.2.0-1
2020-03-02 11:44:16 configure python3-josepy:all 1.1.0-2~deb9u1 <none>
2020-03-02 11:44:16 status unpacked python3-josepy:all 1.1.0-2~deb9u1
2020-03-02 11:44:16 status half-configured python3-josepy:all 1.1.0-2~deb9u1
2020-03-02 11:44:16 status installed python3-josepy:all 1.1.0-2~deb9u1
2020-03-02 11:44:16 configure python3-tz:all 2016.7-0.3 <none>
2020-03-02 11:44:16 status unpacked python3-tz:all 2016.7-0.3
2020-03-02 11:44:16 status half-configured python3-tz:all 2016.7-0.3
2020-03-02 11:44:16 status installed python3-tz:all 2016.7-0.3
2020-03-02 11:44:16 configure python3-parsedatetime:all 2.1-3+deb9u1 <none>
2020-03-02 11:44:16 status unpacked python3-parsedatetime:all 2.1-3+deb9u1
2020-03-02 11:44:16 status half-configured python3-parsedatetime:all 2.1-3+deb9u1
2020-03-02 11:44:16 status installed python3-parsedatetime:all 2.1-3+deb9u1
2020-03-02 11:44:16 configure python3-rfc3339:all 1.0-4 <none>
2020-03-02 11:44:16 status unpacked python3-rfc3339:all 1.0-4
2020-03-02 11:44:16 status half-configured python3-rfc3339:all 1.0-4
2020-03-02 11:44:16 status installed python3-rfc3339:all 1.0-4
2020-03-02 11:44:16 configure python3-zope.component:all 4.3.0-1 <none>
2020-03-02 11:44:16 status unpacked python3-zope.component:all 4.3.0-1
2020-03-02 11:44:16 status half-configured python3-zope.component:all 4.3.0-1
2020-03-02 11:44:17 status installed python3-zope.component:all 4.3.0-1
2020-03-02 11:44:17 configure python3-acme:all 0.28.0-1~deb9u2 <none>
2020-03-02 11:44:17 status unpacked python3-acme:all 0.28.0-1~deb9u2
2020-03-02 11:44:17 status half-configured python3-acme:all 0.28.0-1~deb9u2
2020-03-02 11:44:17 status installed python3-acme:all 0.28.0-1~deb9u2
2020-03-02 11:44:17 configure python3-certbot:all 0.28.0-1~deb9u2 <none>
2020-03-02 11:44:17 status unpacked python3-certbot:all 0.28.0-1~deb9u2
2020-03-02 11:44:17 status half-configured python3-certbot:all 0.28.0-1~deb9u2
2020-03-02 11:44:17 status installed python3-certbot:all 0.28.0-1~deb9u2
2020-03-02 11:44:17 configure certbot:all 0.28.0-1~deb9u2 <none>
2020-03-02 11:44:17 status unpacked certbot:all 0.28.0-1~deb9u2
2020-03-02 11:44:17 status unpacked certbot:all 0.28.0-1~deb9u2
2020-03-02 11:44:17 status unpacked certbot:all 0.28.0-1~deb9u2
2020-03-02 11:44:17 status unpacked certbot:all 0.28.0-1~deb9u2
2020-03-02 11:44:17 status half-configured certbot:all 0.28.0-1~deb9u2
2020-03-02 11:44:18 status installed certbot:all 0.28.0-1~deb9u2
2020-03-02 11:44:18 configure letsencrypt:all 0.28.0-1~deb9u2 <none>
2020-03-02 11:44:18 status unpacked letsencrypt:all 0.28.0-1~deb9u2
2020-03-02 11:44:18 status half-configured letsencrypt:all 0.28.0-1~deb9u2
2020-03-02 11:44:18 status installed letsencrypt:all 0.28.0-1~deb9u2
2020-03-02 17:51:23 startup archives unpack
2020-03-02 17:51:23 install restic:amd64 <none> 0.3.3-1+b2
2020-03-02 17:51:23 status half-installed restic:amd64 0.3.3-1+b2
2020-03-02 17:51:23 status unpacked restic:amd64 0.3.3-1+b2
2020-03-02 17:51:23 status unpacked restic:amd64 0.3.3-1+b2
2020-03-02 17:51:23 startup packages configure
2020-03-02 17:51:23 configure restic:amd64 0.3.3-1+b2 <none>
2020-03-02 17:51:23 status unpacked restic:amd64 0.3.3-1+b2
2020-03-02 17:51:23 status half-configured restic:amd64 0.3.3-1+b2
2020-03-02 17:51:23 status installed restic:amd64 0.3.3-1+b2
